City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
133,Bandarbeyla,SO,2022-02-08 19:23:51,9.4942,50.8122,75.54,66,6,17.16
134,Kochi,IN,2022-02-08 19:24:51,9.9399,76.2602,75.18,82,100,5.7
135,Poanas,MX,2022-02-08 19:21:20,25.7667,-103.6167,57.13,30,0,4.05
136,Zhuanghe,CN,2022-02-08 19:24:52,39.7008,122.9911,28.29,66,69,1.48
137,Tateyama,JP,2022-02-08 19:24:52,34.9833,139.8667,42.82,81,46,13.09
138,Dingle,PH,2022-02-08 19:24:53,10.9995,122.6711,74.5,90,65,9.46
139,Yulara,AU,2022-02-08 19:24:53,-25.2406,130.9889,75.04,88,100,6.91
140,Kodiak,US,2022-02-08 19:24:54,57.79,-152.4072,27.91,69,0,17.27
141,Lebork,PL,2022-02-08 19:24:54,54.5392,17.7501,42.35,84,26,20.09
142,Qalyub,EG,2022-02-08 19:24:54,30.1792,31.2056,67.28,27,1,5.17
143,Longyearbyen,SJ,2022-02-08 19:24:55,78.2186,15.6401,17.44,62,75,8.05
144,Lesnoy,RU,2022-02-08 19:24:55,57.6198,63.0784,4.69,98,74,5.68
145,Fort Nelson,CA,2022-02-08 19:24:56,58.8053,-122.7002,0.99,78,100,4.61
146,Cuauhtemoc,MX,2022-02-08 19:24:56,28.4167,-106.8667,47.71,16,0,5.91
147,Capaccio,IT,2022-02-08 19:24:56,40.4244,15.0809,46.58,72,0,5.77
148,Kaoma,ZM,2022-02-08 19:24:57,-14.7833,24.8,65.16,95,100,1.72
149,Malabo,GQ,2022-02-08 19:24:57,3.75,8.7833,82.26,94,20,8.05
150,Klaksvik,FO,2022-02-08 19:24:58,62.2266,-6.589,36.52,72,97,39.88
151,Lavrentiya,RU,2022-02-08 19:24:58,65.5833,-171.0,-26.52,97,37,12.66
152,Catamarca,AR,2022-02-08 19:20:43,-28.4696,-65.7852,89.78,36,35,3.0
153,Katherine,AU,2022-02-08 19:24:58,-14.4667,132.2667,77.32,88,75,0.0
154,Kangaatsiaq,GL,2022-02-08 19:24:59,68.3065,-53.4641,-8.61,91,100,12.71
155,General Pico,AR,2022-02-08 19:21:12,-35.6566,-63.7568,83.97,35,100,6.6
