City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
530,Alcudia,ES,48.38,scattered clouds,39.8532,3.1214,Zafiro Tropic
534,Brownwood,US,69.12,clear sky,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
535,Camacha,PT,60.22,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
537,General Pico,AR,54.88,clear sky,-35.6566,-63.7568,Euskadi Hotel
541,Paraiso,CR,68.86,broken clouds,9.8383,-83.8656,Hotel Rinconcito Verde
543,Abu Kamal,SY,49.62,clear sky,34.4506,40.9171,محطة التلفاز
546,Eureka,US,65.68,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
549,Sao Felix Do Xingu,BR,72.18,very heavy rain,-6.6447,-51.995,Rio Xingu Camping
550,Albuquerque,US,56.68,few clouds,35.0845,-106.6511,DoubleTree by Hilton Hotel Albuquerque
553,Mudgee,AU,73.45,broken clouds,-32.5943,149.5871,Parklands Resort & Conference Centre
554,Pyay,MM,66.61,few clouds,18.8167,95.2167,Shwe Pyi Thar
558,Plettenberg Bay,ZA,64.33,clear sky,-34.0527,23.3716,Thanda Vista B&B
561,Dickinson,US,65.19,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
564,Mindelo,CV,72.95,overcast clouds,16.8901,-24.9804,Hotel Gaudi
566,Kyaukse,MM,64.54,clear sky,21.6,96.1333,Shwe Thit Sar Guesthouse
567,Tuy Hoa,VN,74.82,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
568,Akyab,MM,65.01,clear sky,20.15,92.9,Hotel Memory
573,Marsa Matruh,EG,46.6,scattered clouds,31.3525,27.2453,Beau Site
575,Amboasary,MG,73.27,clear sky,-25.0333,46.3833,DISCOVERY AMBOASARY
576,Vila Do Maio,CV,74.19,overcast clouds,15.1333,-23.2167,Hotel Marilu
581,Itoman,JP,71.62,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
582,Camargo,MX,58.6,clear sky,27.6667,-105.1667,Hotel Santa Fe
583,Sao Miguel Do Araguaia,BR,71.19,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
584,Seaford,GB,45.7,overcast clouds,50.7714,0.1027,Premier Inn Newhaven hotel
586,Viru,PE,69.1,overcast clouds,-8.4167,-78.75,AYAR PORTENTOS DE MONTAÑA
590,Foumban,CM,63.75,few clouds,5.7291,10.9001,Hotel Pekassa De Karche
592,Rathdrum,US,46.89,clear sky,47.8137,-116.892,Grizzly Lodge Rathdrum
603,Abha,SA,51.62,clear sky,18.2164,42.5053,Abha Hotel
605,Diamantino,BR,72.52,heavy intensity rain,-14.4086,-56.4461,Hotel Delta
613,Acari,PE,73.83,clear sky,-15.4311,-74.6158,HOSPEDAJE XIMENA
618,Hiji,JP,48.09,overcast clouds,33.3667,131.5333,Hotel & Resorts BEPPUWAN
